iter	Passed	Remaining
0	203	203512
1	205	102346
2	208	69428
3	210	52330
4	211	42061
5	212	35195
6	213	30308
7	214	26611
8	215	23733
9	216	21431
10	217	19545
11	218	17975
12	219	16654
13	220	15544
14	222	14595
15	223	13741
16	224	12973
17	225	12288
18	226	11693
19	227	11151
20	228	10655
21	229	10201
22	230	9787
23	231	9422
24	232	9077
25	233	8753
26	235	8494
27	237	8227
28	238	7979
29	239	7748
30	240	7520
31	241	7305
32	242	7105
33	243	6914
34	244	6736
35	245	6577
36	247	6434
37	248	6288
38	252	6215
39	253	6079
40	254	5949
41	255	5825
42	256	5709
43	258	5610
44	259	5512
45	260	5411
46	264	5363
47	265	5269
48	266	5175
49	267	5086
50	268	4999
51	269	4914
52	270	4837
53	271	4760
54	272	4684
55	273	4611
56	274	4540
57	275	4471
58	277	4429
59	279	4372
60	280	4310
61	280	4250
62	281	4191
63	282	4135
64	283	4084
65	284	4031
66	286	3985
67	287	3936
68	288	3889
69	289	3842
70	290	3800
71	292	3770
72	293	3730
73	294	3690
74	295	3648
75	296	3610
76	297	3571
77	298	3532
78	299	3494
79	300	3456
80	301	3420
81	302	3385
82	302	3346
83	304	3316
84	305	3292
85	307	3265
86	308	3235
87	309	3205
88	310	3175
89	311	3153
90	312	3124
91	313	3098
92	314	3070
93	316	3047
94	317	3022
95	318	3001
96	321	2989
97	322	2968
98	323	2946
99	325	2927
100	326	2907
101	327	2883
102	328	2860
103	329	2839
104	330	2820
105	332	2801
106	333	2779
107	334	2758
108	335	2744
109	337	2727
110	338	2711
111	339	2693
112	340	2673
113	341	2655
114	342	2637
115	344	2622
116	344	2603
117	345	2585
118	346	2568
119	347	2551
120	349	2542
121	351	2528
122	352	2513
123	353	2496
124	354	2480
125	355	2464
126	356	2447
127	357	2432
128	358	2419
129	359	2404
130	360	2389
131	361	2374
132	362	2362
133	365	2364
134	367	2354
135	368	2341
136	369	2330
137	371	2318
138	373	2311
139	374	2302
140	376	2291
141	376	2276
142	382	2292
143	384	2284
144	387	2282
145	388	2270
146	389	2260
147	391	2252
148	398	2274
149	401	2277
150	403	2267
151	404	2256
152	405	2246
153	406	2235
154	410	2237
155	412	2230
156	413	2219
157	414	2209
158	415	2197
159	417	2190
160	418	2178
161	419	2168
162	420	2157
163	421	2148
164	423	2143
165	428	2153
166	431	2153
167	433	2144
168	434	2134
169	435	2127
170	439	2130
171	443	2135
172	444	2126
173	446	2120
174	449	2117
175	451	2114
176	453	2107
177	457	2111
178	460	2110
179	462	2104
180	463	2098
181	466	2095
182	468	2090
183	469	2081
184	472	2080
185	473	2073
186	475	2065
187	476	2057
188	477	2049
189	478	2041
190	480	2035
191	483	2034
192	488	2043
193	492	2045
194	494	2042
195	499	2047
196	502	2049
197	504	2041
198	505	2036
199	507	2029
200	510	2028
201	512	2022
202	513	2015
203	515	2012
204	519	2013
205	520	2004
206	521	1996
207	522	1988
208	523	1982
209	524	1974
210	528	1974
211	529	1967
212	530	1961
213	531	1953
214	533	1946
215	534	1938
216	535	1930
217	535	1922
218	537	1916
219	538	1908
220	539	1901
221	543	1905
222	545	1899
223	547	1895
224	548	1887
225	549	1880
226	550	1876
227	553	1873
228	554	1866
229	555	1859
230	558	1858
231	560	1854
232	561	1847
233	562	1840
234	563	1832
235	564	1825
236	565	1819
237	566	1812
238	567	1808
239	569	1803
240	574	1809
241	575	1803
242	576	1797
243	578	1793
244	580	1787
245	581	1781
246	582	1775
247	583	1768
248	584	1763
249	588	1765
250	590	1763
251	593	1761
252	613	1811
253	621	1825
254	623	1822
255	625	1817
256	628	1816
257	631	1815
258	632	1810
259	637	1815
260	638	1809
261	640	1802
262	641	1798
263	643	1793
264	644	1787
265	645	1780
266	646	1775
267	648	1770
268	651	1770
269	653	1767
270	654	1761
271	656	1756
272	657	1751
273	658	1746
274	659	1739
275	660	1733
276	661	1727
277	662	1721
278	665	1719
279	666	1714
280	667	1708
281	668	1703
282	670	1697
283	672	1694
284	673	1688
285	674	1683
286	675	1677
287	676	1672
288	677	1666
289	679	1664
290	681	1659
291	682	1654
292	683	1649
293	684	1643
294	685	1639
295	686	1633
296	688	1629
297	689	1623
298	690	1618
299	691	1612
300	691	1606
301	692	1601
302	695	1598
303	696	1594
304	697	1589
305	698	1584
306	699	1578
307	700	1573
308	701	1568
309	702	1564
310	703	1559
311	704	1553
312	705	1549
313	706	1544
314	708	1541
315	710	1537
316	711	1533
317	712	1528
318	713	1523
319	715	1519
320	716	1515
321	717	1510
322	718	1506
323	720	1503
324	727	1510
325	729	1508
326	731	1504
327	732	1501
328	734	1498
329	738	1500
330	740	1495
331	743	1495
332	744	1490
333	759	1513
334	760	1509
335	761	1504
336	763	1501
337	768	1504
338	772	1505
339	775	1506
340	776	1501
341	790	1520
342	793	1519
343	798	1522
344	800	1520
345	802	1517
346	804	1513
347	805	1509
348	806	1505
349	818	1519
350	867	1604
351	871	1604
352	878	1611
353	885	1616
354	889	1616
355	893	1617
356	896	1614
357	901	1616
358	912	1629
359	914	1626
360	917	1623
361	962	1695
362	963	1691
363	965	1686
364	967	1682
365	968	1678
366	970	1673
367	973	1671
368	975	1667
369	976	1663
370	978	1658
371	979	1653
372	980	1648
373	983	1646
374	1008	1681
375	1011	1678
376	1012	1673
377	1014	1668
378	1016	1664
379	1017	1660
380	1019	1655
381	1021	1653
382	1024	1650
383	1026	1646
384	1027	1642
385	1029	1637
386	1030	1632
387	1032	1628
388	1033	1623
389	1036	1621
390	1038	1616
391	1039	1612
392	1041	1608
393	1172	1803
394	1175	1800
395	1177	1796
396	1179	1790
397	1205	1824
398	1207	1819
399	1209	1813
400	1211	1809
401	1212	1804
402	1215	1800
403	1219	1798
404	1221	1793
405	1225	1792
406	1228	1790
407	1235	1793
408	1237	1788
409	1240	1785
410	1242	1780
411	1282	1830
412	1285	1826
413	1287	1821
414	1288	1816
415	1292	1814
416	1297	1813
417	1299	1809
418	1302	1805
419	1303	1800
420	1304	1794
421	1306	1789
422	1307	1783
423	1309	1778
424	1432	1937
425	1434	1933
426	1436	1927
427	1440	1924
428	1472	1959
429	1480	1962
430	1482	1957
431	1483	1950
432	1484	1944
433	1487	1939
434	1488	1933
435	1493	1931
436	1494	1925
437	1496	1920
438	1497	1913
439	1499	1907
440	1500	1901
441	1501	1895
442	1502	1888
443	1503	1882
444	1506	1879
445	1509	1875
446	1511	1869
447	1513	1864
448	1514	1858
449	1515	1852
450	1516	1846
451	1518	1840
452	1519	1834
453	1521	1829
454	1522	1823
455	1523	1817
456	1524	1811
457	1526	1806
458	1527	1800
459	1530	1796
460	1531	1790
461	1533	1785
462	1537	1783
463	1539	1777
464	1541	1773
465	1542	1767
466	1544	1762
467	1545	1757
468	1547	1751
469	1550	1748
470	1553	1744
471	1555	1739
472	1559	1737
473	1562	1733
474	1576	1742
475	1579	1738
476	1595	1749
477	1599	1746
478	1609	1750
479	1611	1745
480	1612	1740
481	1615	1736
482	1617	1731
483	1618	1725
484	1619	1720
485	1620	1714
486	1621	1708
487	1623	1702
488	1624	1697
489	1625	1691
490	1626	1686
491	1627	1680
492	1629	1676
493	1630	1670
494	1632	1665
495	1633	1659
496	1634	1654
497	1635	1648
498	1636	1643
499	1638	1638
500	1640	1633
501	1641	1628
502	1642	1623
503	1647	1621
504	1649	1616
505	1651	1611
506	1652	1607
507	1654	1602
508	1655	1596
509	1656	1591
510	1657	1586
511	1660	1582
512	1662	1577
513	1663	1572
514	1665	1568
515	1666	1562
516	1667	1557
517	1668	1552
518	1670	1547
519	1671	1542
520	1672	1537
521	1674	1533
522	1676	1528
523	1677	1523
524	1678	1518
525	1679	1513
526	1680	1508
527	1681	1503
528	1682	1498
529	1683	1492
530	1685	1488
531	1686	1483
532	1688	1479
533	1689	1474
534	1691	1470
535	1692	1465
536	1693	1460
537	1694	1455
538	1696	1450
539	1697	1445
540	1698	1441
541	1700	1436
542	1701	1431
543	1703	1427
544	1704	1423
545	1705	1418
546	1708	1414
547	1709	1410
548	1710	1405
549	1713	1401
550	1714	1397
551	1715	1392
552	1716	1387
553	1718	1383
554	1719	1378
555	1720	1373
556	1721	1369
557	1723	1365
558	1724	1360
559	1726	1356
560	1727	1351
561	1729	1347
562	1730	1343
563	1737	1343
564	1738	1338
565	1741	1335
566	1742	1330
567	1744	1326
568	1745	1321
569	1746	1317
570	1750	1314
571	1751	1310
572	1752	1306
573	1756	1303
574	1759	1300
575	1760	1296
576	1761	1291
577	1763	1287
578	1764	1283
579	1765	1278
580	1767	1274
581	1768	1270
582	1769	1265
583	1770	1261
584	1771	1256
585	1773	1252
586	1774	1248
587	1775	1243
588	1776	1239
589	1777	1235
590	1779	1231
591	1781	1227
592	1782	1223
593	1783	1219
594	1784	1214
595	1786	1210
596	1798	1213
597	1799	1209
598	1803	1207
599	1809	1206
600	1810	1202
601	1812	1197
602	1813	1193
603	1814	1189
604	1815	1185
605	1816	1181
606	1817	1176
607	1818	1172
608	1819	1168
609	1821	1164
610	1822	1160
611	1824	1156
612	1825	1152
613	1826	1148
614	1827	1144
615	1828	1140
616	1829	1135
617	1830	1131
618	1831	1127
619	1832	1123
620	1833	1119
621	1834	1114
622	1836	1111
623	1837	1106
624	1838	1102
625	1838	1098
626	1839	1094
627	1840	1090
628	1841	1086
629	1842	1082
630	1843	1078
631	1844	1074
632	1845	1069
633	1846	1065
634	1847	1061
635	1848	1057
636	1849	1053
637	1851	1050
638	1852	1046
639	1853	1042
640	1854	1038
641	1854	1034
642	1855	1030
643	1856	1026
644	1857	1022
645	1858	1018
646	1859	1014
647	1860	1010
648	1861	1006
649	1862	1002
650	1863	998
651	1864	995
652	1865	991
653	1866	987
654	1867	983
655	1868	979
656	1869	976
657	1870	972
658	1871	968
659	1872	964
660	1873	960
661	1874	956
662	1875	953
663	1877	949
664	1878	946
665	1879	942
666	1880	939
667	1882	935
668	1882	931
669	1884	928
670	1885	924
671	1885	920
672	1886	916
673	1887	913
674	1888	909
675	1889	905
676	1890	901
677	1891	898
678	1893	895
679	1894	891
680	1895	887
681	1896	884
682	1897	880
683	1898	876
684	1899	873
685	1900	869
686	1901	866
687	1902	862
688	1903	858
689	1903	855
690	1904	851
691	1905	848
